time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1767983558.94975495,0.00242472,12836,0.00013061,0.00000000,0,0.00000000,6787,6825,68,0.00171293
1767983559.04933357,0.00855337,12608,0.00030005,0.00000000,0,0.00000000,6825,6847,58,0.00114560
1767983559.14886332,0.00386259,12598,0.00030315,0.00000000,0,0.00000000,6847,6873,62,0.00035085
1767983559.24836731,0.00886855,12595,0.00023980,0.00000000,0,0.00000000,6720,6765,54,0.00042704
1767983559.34924555,0.00588977,12701,0.00023097,0.00000000,0,0.00000000,6765,6760,55,0.00178178
1767983559.44874310,0.00860489,12421,0.00038577,0.00000000,0,0.00000000,6760,6793,66,0.00179563
1767983559.54827714,0.00835913,12392,0.00041447,0.00000000,0,0.00000000,6793,6834,74,0.00066240
1767983559.64914060,0.00966361,12611,0.00037562,0.00000000,0,0.00000000,6834,6873,72,0.00160257
1767983559.74868822,0.00520290,12334,0.00031387,0.00000000,0,0.00000000,6873,6921,80,0.00100520
1767983559.84957838,0.00725203,12537,0.00011897,0.00000000,0,0.00000000,6921,6960,79,0.00113070
1767983559.94910717,0.00714311,12285,0.00009162,0.00000000,0,0.00000000,6960,6984,52,0.00100573
1767983560.04992867,0.00823583,12449,0.00038267,0.00000000,0,0.00000000,6984,6995,53,0.00169635
1767983560.14950514,0.00410326,12231,0.00008857,0.00000000,0,0.00000000,6995,7024,45,0.00032698
1767983560.24903011,0.00832090,12203,0.00038924,0.00000000,0,0.00000000,7024,7053,61,0.00124909
1767983560.34855676,0.00385134,12132,0.00015138,0.00000000,0,0.00000000,7053,7055,52,0.00108992
1767983560.44942427,0.00861989,12276,0.00011442,0.00000000,0,0.00000000,7055,7045,31,0.00115336
1767983560.54883599,0.00692639,12078,0.00008665,0.00000000,0,0.00000000,7045,7066,31,0.00061952
1767983560.64977646,0.00597208,12230,0.00056427,0.00000000,0,0.00000000,7066,6934,33,0.00064659
1767983560.74935675,0.00520504,12033,0.00020996,0.00000000,0,0.00000000,6934,6923,37,0.00032123
1767983560.84885168,0.00789467,11966,0.00022053,0.00000000,0,0.00000000,6923,6954,41,0.00127686
1767983560.94970679,0.00559844,12173,0.00014708,0.00000000,0,0.00000000,6954,6982,48,0.00166921
1767983561.04927182,0.00667566,11961,0.00015056,0.00000000,0,0.00000000,6982,6997,30,0.00040638
1767983561.14877152,0.00973303,11890,0.00034649,0.00000000,0,0.00000000,6997,7008,37,0.00049383
1767983561.24963069,0.00895045,12038,0.00060929,0.00000000,0,0.00000000,7008,6965,45,0.00100475
1767983561.34900594,0.00945539,11818,0.00040078,0.00000000,0,0.00000000,6965,6973,41,0.00100869
1767983561.44870090,0.00786659,11820,0.00027085,0.00000000,0,0.00000000,6973,6997,39,0.00049764
1767983561.54955912,0.00886804,11949,0.00025162,0.00000000,0,0.00000000,6997,7005,40,0.00178007
1767983561.64909983,0.00793779,11638,0.00038860,0.00000000,0,0.00000000,7005,7037,64,0.00176948
1767983561.74998665,0.00329288,11824,0.00014720,0.00000000,0,0.00000000,7037,7048,35,0.00165703
1767983561.84953380,0.00397676,11622,0.00006146,0.00000000,0,0.00000000,7048,7058,34,0.00175332
1767983561.94905114,0.00520588,11483,0.00016871,0.00000000,0,0.00000000,7058,7095,58,0.00170988
